Rk,Player,Position,Age,Team,Games,Minutes played per game,Field Goal Percentage,Points per game
446,Iman Shumpert,SG,28,HOU,20,19.1,0.347,4.6
450,Jonathon Simmons,SG,29,ORL,41,20.6,0.364,6.9
450,Jonathon Simmons,SF,29,PHI,15,14.6,0.453,5.5
454,Dennis Smith Jr.,PG,21,DAL,32,28.4,0.44,12.9
454,Dennis Smith Jr.,PG,21,NYK,21,28.6,0.413,14.7
457,Jason Smith,C,32,WAS,12,10.8,0.405,3.7
457,Jason Smith,PF,32,MIL,6,6.7,0.308,2.2
457,Jason Smith,C,32,NOP,2,10,0.222,4
460,Ray Spalding,PF,21,DAL,1,1,,0
460,Ray Spalding,PF,21,PHO,13,11.3,0.532,4.2
462,Nik Stauskas,SG,25,POR,44,15.3,0.419,6.1
462,Nik Stauskas,SG,25,CLE,24,14.3,0.367,5.5
466,Caleb Swanigan,PF,21,POR,18,8.1,0.318,1.9
466,Caleb Swanigan,PF,21,SAC,3,11,0.444,2.7
469,Garrett Temple,SG,32,MEM,49,31.2,0.429,9.4
469,Garrett Temple,SG,32,LAC,26,19.6,0.396,4.7
472,Emanuel Terry,PF,22,PHO,2,10,0.667,4.5
472,Emanuel Terry,PF,22,MIA,1,3,0,1
489,Jonas Valan?i¨±nas,C,26,TOR,30,18.8,0.575,12.8
489,Jonas Valan?i¨±nas,C,26,MEM,19,27.7,0.545,19.9
521,Christian Wood,PF,23,MIL,13,4.8,0.48,2.8
521,Christian Wood,PF,23,NOP,8,23.6,0.533,16.9
522,Delon Wright,PG,26,TOR,49,18.3,0.433,6.9
522,Delon Wright,PG,26,MEM,26,30.8,0.434,12.2
528,Tyler Zeller,C,29,ATL,2,5.5,0,0
528,Tyler Zeller,C,29,MEM,4,20.5,0.571,11.5
530,Ivica Zubac,C,21,LAL,33,15.6,0.58,8.5
530,Ivica Zubac,C,21,LAC,26,20.2,0.538,9.4
