Rk,Player,Position,Age,Team,Games,Minutes played per game,Field Goal Percentage,Points per game
366,Emmanuel Mudiay,PG,22,NYK,59,27.2,0.446,14.8
367,Jamal Murray,PG,21,DEN,75,32.6,0.437,18.2
368,D?anan Musa,SG,19,BRK,9,4.3,0.409,2.1
369,Mike Muscala,PF,27,TOT,64,20.4,0.402,7
370,Sviatoslav Mykhailiuk,SF,21,TOT,42,10.5,0.329,3.2
371,Abdel Nader,SF,25,OKC,61,11.4,0.423,4
372,Larry Nance Jr.,C,26,CLE,67,26.8,0.52,9.4
373,Shabazz Napier,PG,27,BRK,56,17.6,0.389,9.4
374,Raul Neto,PG,26,UTA,37,12.8,0.46,5.3
375,Georges Niang,PF,25,UTA,59,8.7,0.475,4
376,Joakim Noah,C,33,MEM,42,16.5,0.516,7.1
377,Nerlens Noel,C,24,OKC,77,13.7,0.587,4.9
378,Dirk Nowitzki,PF,40,DAL,51,15.6,0.359,7.3
379,Frank Ntilikina,PG,20,NYK,43,21,0.337,5.7
380,James Nunnally,SF,28,TOT,15,6.8,0.353,2.4
381,Jusuf Nurki?,C,24,POR,72,27.4,0.508,15.6
382,David Nwaba,SG,26,CLE,51,19.3,0.481,6.5
383,Royce O'Neale,SF,25,UTA,82,20.4,0.475,5.2
384,Kyle O'Quinn,C,28,IND,45,8.2,0.507,3.5
385,Semi Ojeleye,PF,24,BOS,56,10.6,0.424,3.3
386,Jahlil Okafor,C,23,NOP,59,15.8,0.586,8.2
387,Elie Okobo,PG,21,PHO,53,18.1,0.393,5.7
388,Josh Okogie,SG,20,MIN,74,23.7,0.386,7.7
389,Victor Oladipo,SG,26,IND,36,31.9,0.423,18.8
390,Kelly Olynyk,PF,27,MIA,79,22.9,0.463,10
391,Cedi Osman,SF,23,CLE,76,32.2,0.427,13
392,Kelly Oubre Jr.,SF,23,TOT,69,28,0.445,15.2
393,Zaza Pachulia,C,34,DET,68,12.9,0.44,3.9
394,Jabari Parker,PF,23,TOT,64,26.9,0.493,14.5
395,Tony Parker,PG,36,CHO,56,17.9,0.46,9.5
396,Chandler Parsons,SF,30,MEM,25,19.8,0.374,7.5
397,Patrick Patterson,PF,29,OKC,63,13.7,0.374,3.6
398,Justin Patton,C,21,PHI,3,7,0.286,1.7
399,Chris Paul,PG,33,HOU,58,32,0.419,15.6
400,Cameron Payne,PG,24,TOT,40,17.8,0.43,6.3
401,Elfrid Payton,PG,24,NOP,42,29.8,0.434,10.6
402,Gary Payton II,PG,26,WAS,3,5.3,0.625,3.7
403,Theo Pinson,SG,23,BRK,18,11.7,0.342,4.5
404,Mason Plumlee,C,28,DEN,82,21.1,0.593,7.8
405,Miles Plumlee,C,30,ATL,18,9.6,0.667,4.4
406,Jakob Poeltl,C,23,SAS,77,16.5,0.645,5.5
407,Quincy Pondexter,SF,30,SAS,53,5.5,0.5,1.8
408,Otto Porter,SF,25,TOT,56,30.1,0.465,13.9
409,Bobby Portis,PF,23,TOT,50,26,0.444,14.2
410,Dwight Powell,C,27,DAL,77,21.6,0.597,10.6
411,Norman Powell,SG,25,TOR,60,18.8,0.483,8.6
412,Alex Poythress,PF,25,ATL,21,14.5,0.494,5.1
413,Taurean Prince,SF,24,ATL,55,28.2,0.441,13.5
414,Zhou Qi,PF,23,HOU,1,1,1,2
415,Ivan Rabb,PF,21,MEM,49,14.7,0.547,5.8
416,Chasson Randle,PG,25,WAS,49,15.2,0.419,5.5
417,Julius Randle,PF,24,NOP,73,30.6,0.524,21.4
418,J.J. Redick,SG,34,PHI,76,31.3,0.44,18.1
419,Davon Reed,SG,23,IND,10,4.7,0.417,1.2
420,Cameron Reynolds,SG,23,MIN,19,13.6,0.423,5
421,Josh Richardson,SG,25,MIA,73,34.8,0.412,16.6
422,Malachi Richardson,SG,23,TOR,22,4.7,0.31,1.4
423,Austin Rivers,SG,26,TOT,76,26.7,0.406,8.1
424,Devin Robinson,SF,23,WAS,7,13.6,0.594,6.7
425,Duncan Robinson,SF,24,MIA,15,10.7,0.391,3.3
426,Glenn Robinson III,SF,25,DET,47,13,0.42,4.2
427,Jerome Robinson,SG,21,LAC,33,9.7,0.4,3.4
428,Mitchell Robinson,C,20,NYK,66,20.6,0.694,7.3
429,Rajon Rondo,PG,32,LAL,46,29.8,0.405,9.2
430,Derrick Rose,PG,30,MIN,51,27.3,0.482,18
431,Terrence Ross,SG,27,ORL,81,26.5,0.428,15.1
432,Terry Rozier,PG,24,BOS,79,22.7,0.387,9
433,Ricky Rubio,PG,28,UTA,68,27.9,0.404,12.7
434,D'Angelo Russell,PG,22,BRK,81,30.2,0.434,21.1
435,Domantas Sabonis,C,22,IND,74,24.8,0.59,14.1
436,Brandon Sampson,SG,21,CHI,14,15.3,0.467,5.1
